"meth","gyes","gyes","gyes","gyes"
"mksd","0.0880713398703237","0.0117748444964704","0.961644043176096","1.31361427209309e-05"
"mksd","0.459424460984517","0.00846858511391249","0.251683734313041","1.94304050492025e-07"
"mksd","0.0301276446392824","0.0242679192854298","0.137756668204434","0.000257687540602602"
"mksd","0.918330560100465","0.130177273675458","0.77688009987753","3.78018191280724e-05"
"mksd","0.265630610452439","0.00830508513922032","0.646728664648324","0.0093333772195021"
"mksd","0.760722364114864","0.000230326291185792","0.426631846703273","8.30950400537373e-08"
"mksd","0.0368729122304528","0.153383559457695","0.817044939852905","6.12077124558835e-06"
"mksd","0.00758071121276217","0.0464818339652498","0.0498857311249902","4.8169453777103e-08"
"mksd","0.298363620085859","0.0142062943999864","0.0683893564088819","1.45012611432302e-06"
"mksd","0.0234553638736352","0.0895770874272896","0.68684783605458","9.18675165580092e-07"
"mksd","0.077152142496336","0.153085464752541","0.194785696034023","2.8028411433837e-07"
"mksd","0.392050738045735","0.115133330463238","0.763714880268245","9.15979558864944e-06"
"mksd","0.646427502280811","0.615320048724838","0.216161191799858","6.62359316924891e-10"
"mksd","0.210486325897174","0.353565115445007","0.442254521827561","5.79732401897227e-09"
"mksd","0.932403029548298","0.726873924960296","0.629949790857558","3.30112396033362e-08"
"mksd","0.794200323206002","0.652159077996429","0.728589096818597","5.4618398214344e-07"
"mksd","0.712859150630395","0.561263795893632","0.078618235752994","2.87539297028437e-09"
"mksd","0.883389551523517","0.217582771711556","0.756164722133323","0.00400848822899096"
"mksd","0.16111072602244","0.214647836529003","0.832005922888539","8.12160292251147e-08"
"mksd","0.665668265218549","0.229361363273753","0.101438575074041","1.45395493606708e-08"
"mksd","0.113605007050988","0.425236102052613","0.0453908410668594","2.26237610412849e-05"
"mksd","0.949659798187349","0.0664482452448025","0.790246270095655","9.0765025797564e-06"
"mksd","0.0755645259323366","0.34729449638121","0.0393122788772636","2.98832312490892e-08"
"mksd","0.585347445165403","0.387324061361712","0.000300227682569404","0.000941697369644718"
"mksd","0.787554928895799","0.815776129692745","0.0435854778561604","0.000226781722479517"
"mksd","0.104669611837429","0.0503825531948362","0.667778040302104","0.00130343523528234"
"mksd","0.267920027027021","0.00109990574502504","0.838958014334509","7.93814537581611e-05"
"mksd","0.0516670029619478","0.954151844690472","0.421266761512122","3.54431279634679e-06"
"mksd","0.887364963792615","0.141588987658599","0.237308642077781","1.38149175510005e-07"
"mksd","0.669554375701715","0.0069423690248564","0.843253545525772","1.05764178805666e-05"
"mksd","0.624971822383516","0.264287171128216","0.148330268598916","8.19985812104317e-08"
"mksd","0.486060295817386","0.0989526092622194","0.965565567127406","2.72724324288563e-05"
"mksd","0.639243685297989","0.0737384687059257","0.0896726401620009","5.37724668448988e-09"
"mksd","0.509061040354372","0.391368938210122","0.872689139814812","3.52143656857763e-07"
"mksd","0.0172099354902997","0.130438993630285","0.861288885563819","5.12509583951547e-05"
"mksd","0.636589866221236","0.00788869721024739","0.319282748414426","0.00018143425756746"
"mksd","0.0179496681684749","0.859760613777789","0.89288515849854","2.70226844058821e-05"
"mksd","0.00409632686002235","0.11883304631605","0.94352167072328","9.96789202808579e-06"
"mksd","0.0550995156043078","0.507818490657681","0.168698565939389","4.57259625927191e-05"
"mksd","0.503402466985019","0.0244364317417429","0.477313091510231","8.15438425046856e-05"
"mksd","0.486356466273768","0.0690074227893564","0.808753704358216","8.36663083172979e-06"
"mksd","0.56966444771234","0.31638688893809","0.773334597757801","7.53577021820357e-06"
"mksd","0.144831104111977","0.421394874182981","0.726712071212817","2.56135941543895e-07"
"mksd","0.268230326946882","0.85105606285619","0.559410586723015","0.000483286110060342"
"mksd","0.599523917125884","0.165383658702903","0.663683142656803","9.47616805674228e-09"
"mksd","0.61022777026435","0.000734193438927116","0.0447143352029583","2.94901395023577e-06"
"mksd","0.79948120259968","0.722174691239048","0.00710773298940233","4.85227017292065e-07"
"mksd","0.0342229620226359","0.971180243559554","0.972713201819074","2.03388576563461e-05"
"mksd","0.0259213933113137","0.696432460712241","0.151624875365241","1.62550720616514e-09"
"mksd","0.135224881759061","0.0109044691373159","0.0684269438322203","0.000472939015996843"
"mksd","0.115680461023389","0.10275174243122","0.961341006498241","2.07084531731724e-08"
"mksd","0.83704104683474","0.114204179143514","0.797673783294741","3.66545314035725e-05"
"mksd","0.968407122596124","0.0127292997639608","0.0352942448669691","1.93466128677603e-06"
"mksd","0.0685980720959181","0.737171752603949","0.208240793151495","8.37225252589429e-09"
"mksd","0.0513813699110842","0.159984265361684","0.530845411561902","3.20737247377914e-07"
"mksd","0.423194310490271","0.358265890134828","0.332160758149917","7.03676120705925e-05"
"mksd","0.225270495817396","0.104287115918445","0.938331393349704","4.83531915831194e-07"
"mksd","0.0017000684581584","0.392485161496037","0.388124293006059","1.02930597330183e-09"
"mksd","0.389029195013511","0.974134920333417","0.353908141628048","3.32773275508682e-10"
"mksd","0.316591796992127","0.050357397199653","0.0607937334128867","0.0013773155931902"
"mksd","0.462951707000617","0.00993670937384449","0.16024205538211","1.86082145859695e-09"
"mksd","0.159911030610301","0.499454857696669","0.78178657623162","1.00101360052e-05"
"mksd","0.309237802170895","0.0457260986640404","0.609264820327886","3.53159818345444e-07"
"mksd","0.0709057947308576","0.00538107033964331","0.00787341289844209","4.25296630639915e-06"
"mksd","0.853893943596385","0.131904090439938","0.532468364439392","1.03817777015373e-06"
"mksd","0.405106873453357","0.29044202904368","0.0725991607107107","0.000462850050193211"
