"meth","gyes","gyes","gyes","gyes"
"mksd","0.780384788705008","0.959713144098018","0.600119895124266","0.330308175536845"
"mksd","0.906573658535386","0.860916998387055","0.813653703993652","0.0559540221929379"
"mksd","0.997875664892191","0.781576562641991","0.61819276774566","0.174578665846454"
"mksd","0.915551587689876","0.949958213934396","0.610094897529601","0.288618560807137"
"mksd","0.920390892778049","0.948335838061752","0.694113927665066","0.212375046409649"
"mksd","0.935563803121246","0.867875327157046","0.964753290863819","0.328199414071596"
"mksd","0.737673985087694","0.664813926607573","0.793908909404146","0.470848761067862"
"mksd","0.950428798072903","0.795879183767713","0.910643435788829","0.375621358530592"
"mksd","0.750840847626231","0.839711877728201","0.74726093327668","0.507222882749033"
"mksd","0.832321252981214","0.875884925762749","0.545895115779337","0.119041919800724"
"mksd","0.799008057262622","0.987231001090572","0.751233447015845","0.358172514256434"
"mksd","0.990965324082422","0.969244827413345","0.61679678574906","0.492372757232806"
"mksd","0.903450114306314","0.854395998184827","0.789627542378813","0.450612778021343"
"mksd","0.760833284149981","0.660099555650463","0.857049883672268","0.205303111090113"
"mksd","0.982707403139859","0.767777321834838","0.687379108798993","0.262378524177253"
"mksd","0.960312323511982","0.86300599483948","0.905386627985018","0.241773594763995"
"mksd","0.734008476619001","0.887376037027419","0.830149394336069","0.197932044231254"
"mksd","0.824577378717209","0.983289184575068","0.961315943236316","0.281407761676808"
"mksd","0.944501497325903","0.96509072252059","0.47954539686313","0.347944917325378"
"mksd","0.988574554425811","0.785125156327041","0.488013494877369","0.572839680484274"
"mksd","0.937122057481168","0.772325139158468","0.612033360637354","0.488521119798548"
"mksd","0.90627244681217","0.892553517816772","0.793756716911753","0.112058713669547"
"mksd","0.736889812276506","0.67276372974188","0.664622137298917","0.414072665697163"
"mksd","0.990182806020808","0.853774803430881","0.724947113236806","0.225054792970623"
"mksd","0.751855413814065","0.895583811794495","0.680668828288532","0.931145283103274"
"mksd","0.720700633019369","0.917647135190316","0.358593984235593","0.290655395817529"
"mksd","0.764688703079738","0.970104462829945","0.771812932114518","0.18830764465147"
"mksd","0.860435282087712","0.834433345565928","0.409055297154503","0.377489936826156"
"mksd","0.985231112000343","0.997220665652274","0.407903270925563","0.821094944935177"
"mksd","0.79710190506759","0.926019986317935","0.890033478543352","0.0410038162607197"
"mksd","0.683267719506313","0.984420176181217","0.240136971116679","0.343187060141119"
"mksd","0.972623304785341","0.665760497010025","0.495999903284606","0.853989224782868"
"mksd","0.790639131693984","0.925607551100646","0.343803761820044","0.193467982659114"
"mksd","0.926885467543516","0.967167673347815","0.532533046315474","0.164608427462645"
"mksd","0.7861480128442","0.943076424493449","0.498347331758721","0.137245723256976"
"mksd","0.964174656276036","0.893388237492626","0.358522686589507","0.540606431906734"
"mksd","0.898722509201033","0.966721681567879","0.942657860960279","0.383369836357988"
"mksd","0.964944303074176","0.938228147589941","0.301925886318074","0.236342102486697"
"mksd","0.94956937797097","0.79990228046463","0.448798119523552","0.400591296238599"
"mksd","0.790521990791209","0.991300101665797","0.296920777506884","0.425463869748167"
"mksd","0.811191178967374","0.949982415942106","0.503967269569848","0.142267695277973"
"mksd","0.792611020070297","0.989393640519651","0.45431561108833","0.173305990734506"
"mksd","0.959242394644184","0.929272105377854","0.698831645881407","0.45497209716477"
"mksd","0.877034909316051","0.914862054853563","0.775068603940249","0.505682392263874"
"mksd","0.784894476664638","0.92731612535495","0.974607082538865","0.1240132277909"
"mksd","0.840051513070481","0.794140727850723","0.820258534441372","0.302628105962668"
"mksd","0.880524775598493","0.865672404418141","0.885234102436376","0.193827890138341"
"mksd","0.943138296150928","0.981534040151004","0.769871858661969","0.0811180863595636"
"mksd","0.899541969185138","0.767258376431187","0.458724306699193","0.234941054147197"
"mksd","0.880994800745426","0.747386137420487","0.440263882249313","0.533806771870951"
"mksd","0.894587178682443","0.781129885903388","0.858981772964598","0.379728665639798"
"mksd","0.883982244279305","0.844704872125754","0.159911010266476","0.447933533236516"
"mksd","0.954555610643892","0.958043820230575","0.93976482259118","0.515143071586176"
"mksd","0.803722518985957","0.790236290333023","0.984111195214499","0.183027665099495"
